ennui 							| A feeling of listlessness and dissatisfaction arising from a lack of occupation or excitement
escarpment 						| a long, steep slope, especially one at the edge of a plateau or separating areas of land at different heights
unction 							| the action of anointing someone with oil or ointment as a religious rite or as a symbol of investiture as a monarch;: a fervent manner of expression apparently arising from deep emotion, esp when assumed;: (archaic) treatment with a midicinal oil or ointment;: an ointment;: (unctuous) excessively flattering or ingratiating, oily;: (unctuous) (chiefly of minerals) having a greasy or soapy feel;: (unctuous) (of a wine, coffee, sauce, gravy etc.) rich, lush, intense, with layers of concentrated, soft, velvety flavor
grouse 							| complain about something trivial; grumble;: NZ, AUSTR, INF very good (used as a general term of approval)
unmediated 						| without anyone or anything intervening or acting as an intermediate, direct
discrimination 						| recognition and understanding of the difference between one thing and another;: the ability to judge what is of high quality - good judgement or taste
bistre (US bister)					| a yellowish to dark-brown colour;: a brown pigment extracted from the soot of wood, often used in pen and wash drawings.
tenuous 						| very weak or slight;: very slender or fine, insubstantial
diaphanous 						| (especially of fabric) light, delicate, and translucent
rapprochement 						| (especially in international affairs) an establishment or resumption of harmonious relations
gel 							| (of a project or idea) take a definite form or begin to work well;: (of people) work well together;: GB INF an upper-class or well-bred girl or young woman
bowl 							| GB move rapidly and smoothly in a specified direction;: ('bowl someone over') knock someone down;: ('bowl someone over') greatly impress someone by one's good qualities, looks, or achievements
stern 							| (of a person or their manner) serious and unrelenting, especially in the assertion of authority and exercise of discipline;: (of an act or statement) strict and severe;: (of competition or opposition) putting someone or something under extreme pressure;: the after part of a vessel;: the back or rear of anything
umbrage 						| offense or annoyance;: (archaic) shade or shadow, especially cast by trees
slather 							| spread or smear (a substance) thickly or liberally;: US INF ('slathers') a large amount;: INF ('open slather') freedom to act without restriction, free rein
garish 							| obtrusively bright and showy;: lurid
revile 							| criticize in an abusive or angrily insulting manner
bankable 						| (esp in the entertainment industry) certain to bring profit and success;: reliable
gong 							| GB INF a medal or reward
askance 						| with an attitude or look of suspicion or disapproval
efficacy 						| FORM the ability to produce a desired or intended result (adjective: efficacious. Compare with efficiency / efficient);: ('self-efficacy') PSYCH a person's belief in his or her ability to effect change in his or her life, achieve goals, or produce desired results
chime 							| A bell or a metal bar or tube, tuned and used in a set to produce a melodious series of ringing sounds when struck;: ('chime with' or 'chime in with') GB be in agreement with;: ('chime in') interject a remark
inclement 						| (of the weather) unpleasantly cold or wet;: (clement) (of weather) mild
sallow 							| (of a person's face or complexion) of an unhealthy yellow or pale brown colour;: GB, BOT willow
languorous 						| characterized by tiredness or inactivity, especially of a pleasurable kind;: characterized by an oppressive stillness
egg 							| (egg someone on) encourage (someone) to do sth foolish or risky;: INF, (dated) a person of a specified kind ('he was a good egg');: ('don't put all your eggs in one basket') don't risk everything on the success of one venture;: NZ (derogatory) a foolish or obnoxious person;: (slang) a person who is regarded as having not yet realized they are transgender, has not yet come out, or is in the early stages of transitioning
at a rate of knots 					| GB INF very fast
quid 							| GB INF one pound sterling;: ('not the full quid') INF not very intelligent;: ('quids in') INF in a position where one has profited or is likely to profit from sth;: a lump of tobacco for chewing
rain cats and dogs 					| rain very hard
geezer 							| GB INF a man;: US (derogatory) an old man
gun 							| ('top gun') INF the most important or powerful person in a particular sphere;: ('jump the gun') INF act before the proper or appropriate time;: ('under the gun') INF under great pressure to perform;: ('stick to one's guns') INF refuse to compromise or change, despite criticism
strewth (also struth) 					| GB INF used to express surprise or dismay (contraction of 'God's truth')
sure-fire 						| INF certain to succeed
exhaustive 						| including or considering all elements or aspects, fully comprehensive
knock (or hit) someone for six 				| GB INF utterly surprise or overcome someone
wire 							| (US horse racing) (usually 'the wire') a wire stretched across and above the start and finish of a racecourse;: ('down to the wire') INF used to denote a situation whose outcome is not decided until the very last minute;: ('under the wire') US INF at the last possible opportunity; just in time;: ('under the wire') (horse racing) across the finish line
chuffed 						| GB INF very pleased
on the up and up 					| GB INF becoming more successful;: US INF honest and sincere
fleek 							| US INF (usually in phrase 'on fleek') extremely good, attractive, or stylish
home 		 					| (in sports) the goal or end point;: (GB 'home and dry', US 'home free', NZ, AUSTR 'home and hosed') having successfully achieved or being within sight of achieving one's objective;: (GB 'home straight', US 'home stretch') the straight final stretch of a racecourse, also: the last part of an activity or campaign
sliding door moment					| FIG denotes a crucial decision point at which outcomes diverge depending on which of two courses is followed
lickety-split 						| US INF as fast as possible
crepuscular 						| resembling or relating to twilight;: ZOOL (of an animal) appearing or active in twilight
split 							| INF (of one's head) suffer great pain from a headache;: GB INF betray the secrets of or inform on someone;: INF leave a place, esp suddenly;: ('split one's sides') INF be convulsed with laughter;: ('split the difference') take the average of two proposed amounts
spirit away 						| to remove with anyone's noticing;: to carry off through the agency of a spirit or through some magical means ("...fairies having been seen, of their spiriting people away into the mountains")
wonted 							| LIT habitual, usual
radge 							| SCOT wild, crazy or violent (also as noun: such a person);: GB, (dialect) amazing or stupendous
forfend 							| US (also forefend) protect (sth) by precautionary measures;: (archaic) avert or prevent (sth evil or unpleasant);: ('Heaven forfend') (archaic) (humorous) used to express dismay or horror at the thought of sth
code 							| MED an emergency requiring situation-trained members of the staff
osculate 						| to come into close contact or union;: to kiss

VoczSubtitle
Advanced English Vocabulary
